id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,iso3,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob
,,#date+year,,,,,,,,,,,,#group+name+first,,,#group+name+second,,#meta+source,,,#description,,,#loc+name,,#adm1+name,#adm2+name,#geo+lat,#geo+lon,,,#country+name,#country+code,,#region+name,,,#date+start,#date+end,,,,,#affected+killed,,,,
123403,PHI-1989-1-217-51,1989,1,Clear,1,209,209,Philippines: Government,411,411,Government of Philippines - CPP,154,154,Government of Philippines,169,169,CPP,-1,"R 3 July 1989 ""PHILIPPINES FORMS ELITE ANTI-REBEL FORCE.",,,,military spokesman,1,Manila city,Manila City,Metropolitan Manila province,Manila City municipality,14.604200,120.982200,POINT (120.9822 14.6042),151082,Philippines,PHL,840,Asia,2,5,1989-01-01 00:00:00.000,1989-07-03 00:00:00.000,42,0,0,0,42,42,42,840,
124029,PHI-1989-1-217-1,1989,1,Clear,1,209,209,Philippines: Government,411,411,Government of Philippines - CPP,154,154,Government of Philippines,169,169,CPP,-1,"R 16 Jan 1989 ""EIGHT DIE IN PHILIPPINE FIGHTING, NINE KIDNAPPED.",,,,military spokesman,1,Makilala town,Makilala town,Cotabato province,Makilala municipality,6.951400,125.099200,POINT (125.0992 6.9514),139571,Philippines,PHL,840,Asia,1,1,1989-01-15 00:00:00.000,1989-01-15 00:00:00.000,0,8,0,0,8,8,8,840,
125199,PHI-1989-1-217-2,1989,1,Clear,1,209,209,Philippines: Government,411,411,Government of Philippines - CPP,154,154,Government of Philippines,169,169,CPP,-1,"R 31 Jan 1989 ""36 DIE IN PHILIPPINE INSURGENCY WAR.",,,,military spokesman,1,Sultan Kudarat town,Sultan Kudarat town,Maguindanao province,Sultan Kudarat municipality,7.270000,124.310600,POINT (124.3106 7.27),140289,Philippines,PHL,840,Asia,1,1,1989-01-31 00:00:00.000,1989-01-31 00:00:00.000,4,0,0,0,4,4,4,840,
123871,PHI-1989-1-217-5,1989,1,Clear,1,209,209,Philippines: Government,411,411,Government of Philippines - CPP,154,154,Government of Philippines,169,169,CPP,-1,"R 7 Feb 1989 ""COMMUNIST REBELS KILL SEVEN SOLDIERS IN PHILIPPINES",,,,military spokesman,4,Surigao del Sur province,Surigao del Sur province,Surigao del Sur province,,8.666670,126.000000,POINT (126 8.66667),142453,Philippines,PHL,840,Asia,1,1,1989-02-06 00:00:00.000,1989-02-06 00:00:00.000,3,0,5,0,8,8,8,840,
123430,PHI-1989-1-217-4,1989,1,Clear,1,209,209,Philippines: Government,411,411,Government of Philippines - CPP,154,154,Government of Philippines,169,169,CPP,-1,"R 6 Feb 1989 ""PHILIPPINE ARMY MAJOR KILLED IN MANILA AMBUSH.",,,,police spokesman,2,Manila city,Manila City (suburb of),Metropolitan Manila province,Manila City municipality,14.604200,120.982200,POINT (120.9822 14.6042),151082,Philippines,PHL,840,Asia,1,1,1989-02-06 00:00:00.000,1989-02-06 00:00:00.000,2,1,1,0,4,4,4,840,
122856,PHI-1989-1-217-3,1989,1,Clear,1,209,209,Philippines: Government,411,411,Government of Philippines - CPP,154,154,Government of Philippines,169,169,CPP,-1,"R 7 Feb 1989 ""COMMUNIST REBELS KILL SEVEN SOLDIERS IN PHILIPPINES",,,,military spokesman,4,Aurora province,Aurora province,Aurora province,,16.000000,121.750000,POINT (121.75 16),153244,Philippines,PHL,840,Asia,1,1,1989-02-06 00:00:00.000,1989-02-06 00:00:00.000,4,0,0,0,4,4,4,840,
121742,PHI-1989-1-217-6,1989,1,Clear,1,209,209,Philippines: Government,411,411,Government of Philippines - CPP,154,154,Government of Philippines,169,169,CPP,-1,"R 9 Feb 1989 ""17 DIE IN PHILIPPINE VIOLENCE.",,,,military spokesman,4,Bohol province,Bohol province,Bohol province,,9.833333,124.166667,POINT (124.166667 9.833333),143889,Philippines,PHL,840,Asia,1,1,1989-02-08 00:00:00.000,1989-02-08 00:00:00.000,1,0,1,0,2,2,2,840,
122819,PHI-1989-1-217-7,1989,1,Clear,1,209,209,Philippines: Government,411,411,Government of Philippines - CPP,154,154,Government of Philippines,169,169,CPP,-1,"R 9 Feb 1989 ""17 DIE IN PHILIPPINE VIOLENCE.",,,,military spokesman,4,Agusan del Sur province,Agusan del Sur province,Agusan del Sur province,,8.500000,125.833333,POINT (125.833333 8.5),142452,Philippines,PHL,840,Asia,1,1,1989-02-08 00:00:00.000,1989-02-08 00:00:00.000,3,0,8,0,11,11,11,840,
123349,PHI-1989-1-217-9,1989,1,Clear,1,209,209,Philippines: Government,411,411,Government of Philippines - CPP,154,154,Government of Philippines,169,169,CPP,-1,"Times 11 Feb 1989 ""Rebel camp raided",,,,military spokesman,5,Luzon island,Luzon (San José town),,,16.000000,121.000000,POINT (121 16),153243,Philippines,PHL,840,Asia,1,2,1989-02-08 00:00:00.000,1989-02-10 00:00:00.000,5,15,0,0,20,20,20,840,
